ID,Termo,Tipo_Relacao,Termo_Relacionado,Nota_Escopo,Categoria,Status
001,Desinformação,TG,,Informação falsa criada e compartilhada deliberadamente para causar dano,Conceito Principal,Preferido
002,Desinformação,TE,Desinformação política,,Conceito Principal,Preferido
003,Desinformação,TE,Desinformação científica,,Conceito Principal,Preferido
004,Desinformação,TE,Desinformação econômica,,Conceito Principal,Preferido
005,Desinformação,TE,Desinformação social,,Conceito Principal,Preferido
006,Desinformação,TE,Desinformação institucional,,Conceito Principal,Preferido
007,Desinformação,TR,Misinformação,,Conceito Principal,Preferido
008,Desinformação,TR,Mal-informação,,Conceito Principal,Preferido
009,Algoritmo de recomendação,TG,Amplificação algorítmica,Sistema automatizado que seleciona e ordena conteúdo baseado em dados comportamentais,Tecnologia,Preferido
010,Algoritmo de recomendação,TE,Filtro bolha,,Tecnologia,Preferido
011,Algoritmo de recomendação,TE,Viés algorítmico,,Tecnologia,Preferido
012,Algoritmo de recomendação,TR,Engajamento,,Tecnologia,Preferido
013,Amplificação algorítmica,TG,Manipulação informacional,Processo pelo qual algoritmos aumentam o alcance de determinado conteúdo,Manipulação,Preferido
014,Amplificação algorítmica,TE,Algoritmo de recomendação,,Manipulação,Preferido
015,Amplificação algorítmica,TR,Viralização,,Manipulação,Preferido
016,Amplificação algorítmica,TR,Câmara de eco,,Manipulação,Preferido
017,Astroturfing,USE,Mobilização artificial,Criação de movimentos falsos que aparentam ser espontâneos,Manipulação,Não-preferido
018,Bot social,UP,Robô social,Conta automatizada que simula comportamento humano em redes sociais,Atores,Preferido
019,Bot social,TG,Atores artificiais,,Atores,Preferido
020,Bot social,TE,Bot político,,Atores,Preferido
021,Bot social,TE,Bot amplificador,,Atores,Preferido
022,Bot social,TR,Astroturfing,,Atores,Preferido
023,Bot social,TR,Rede de bots,,Atores,Preferido
024,Brigading,TG,Manipulação coordenada,Ação coordenada de grupo para atacar ou promover conteúdo,Manipulação,Preferido
025,Brigading,TR,Assédio digital,,Manipulação,Preferido
026,Câmara de eco,UP,Echo chamber,Ambiente informacional onde pessoas são expostas apenas a opiniões similares,Impacto,Preferido
027,Câmara de eco,TG,Polarização informacional,,Impacto,Preferido
028,Câmara de eco,TR,Filtro bolha,,Impacto,Preferido
029,Câmara de eco,TR,Viés de confirmação,,Impacto,Preferido
